Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode
World,All World,2010,"7,020,588,096","2,147,229,418","1,675,799,697","1,635,247,024","342,747,232","1,051,543,332","13,913,864","154,107,528",3,900
World,All World,2020,"7,885,807,101","2,268,860,679","2,022,590,461","1,905,359,982","324,185,581","1,177,861,089","14,779,638","172,169,677",3,900
Asia-Pacific,All Asia-Pacific,2010,"4,128,253,668","253,421,219","1,022,290,072","1,363,120,346","336,315,490","1,043,564,086","181,429","109,361,020",2,90001
Asia-Pacific,All Asia-Pacific,2020,"4,544,798,237","268,839,155","1,187,663,747","1,492,753,842","316,111,123","1,166,709,664","185,058","112,535,650",2,90001
Europe,All Europe,2010,"741,696,840","553,631,592","39,278,971","138,737,705","2,011,820","1,652,525","1,388,749","4,995,478",2,90002
Europe,All Europe,2020,"752,957,406","505,138,687","45,505,934","190,322,687","2,539,594","2,152,636","1,277,202","6,020,665",2,90002
Latin America-Caribbean,All Latin America-Caribbean,2010,"588,473,795","530,226,293","709,760","46,140,536","337,081","664,052","446,479","9,949,595",2,90003
Latin America-Caribbean,All Latin America-Caribbean,2020,"646,240,245","546,922,208","753,352","77,150,335","326,820","695,342","390,861","20,001,329",2,90003
Middle East-North Africa,All Middle East-North Africa,2010,"355,632,196","11,802,540","334,176,998","1,316,557","64,589","1,993,713","5,767,388","510,411",2,90004
Middle East-North Africa,All Middle East-North Africa,2020,"439,686,888","12,918,830","414,112,362","1,858,569","88,708","3,223,451","6,788,404","696,565",2,90004
North America,All North America,2010,"345,259,689","266,493,854","3,883,369","59,342,371","3,961,863","2,331,594","6,047,315","3,199,322",2,90005
North America,All North America,2020,"377,608,061","237,626,771","5,913,163","114,133,083","5,047,832","3,617,558","6,086,121","5,183,532",2,90005
Sub-Saharan Africa,All Sub-Saharan Africa,2010,"861,271,909","531,653,919","275,460,528","26,589,508","56,388","1,337,362","82,503","26,091,701",2,90006
Sub-Saharan Africa,All Sub-Saharan Africa,2020,"1,124,516,265","697,415,028","368,641,903","29,141,467","71,503","1,462,439","51,992","27,731,936",2,90006
Asia-Pacific,Afghanistan,2010,"28,284,089","28,348","28,213,147","2,447","5,653",100,30,"34,364",1,4
Asia-Pacific,Afghanistan,2020,"39,068,979","7,571","39,015,051","3,304","7,814",50,10,"35,179",1,4
Europe,Albania,2010,"2,928,722","594,046","2,054,583","279,325",0,0,281,486,1,8
Europe,Albania,2020,"2,871,954","511,657","2,139,813","219,787",5,20,289,382,1,8
Middle East-North Africa,Algeria,2010,"36,188,236","105,192","35,671,272","392,542","5,106",0,55,"14,069",1,12
Middle East-North Africa,Algeria,2020,"44,042,091","129,920","43,329,641","557,664","6,607",0,57,"18,202",1,12
Sub-Saharan Africa,Angola,2010,"23,294,825","21,332,160","38,880","1,042,874",897,"3,191",499,"876,323",1,24
Sub-Saharan Africa,Angola,2020,"33,451,133","31,124,508","85,520","2,045,473",801,"3,102",400,"191,330",1,24
Latin America-Caribbean,Argentina,2010,"41,288,694","36,363,335","412,921","4,016,361","12,035","1,025","182,835","300,182",1,32
Latin America-Caribbean,Argentina,2020,"45,191,965","39,974,074","419,922","4,172,533","14,038","1,163","173,979","436,255",1,32
Asia-Pacific,Armenia,2010,"2,931,078","2,858,753",690,"35,353",199,139,99,"35,845",1,51
Asia-Pacific,Armenia,2020,"2,890,893","2,813,205","7,712","34,051",309,216,103,"35,296",1,51
Latin America-Caribbean,Aruba,2010,"100,114","82,315",180,"5,619",479,249,353,"10,919",1,533
Latin America-Caribbean,Aruba,2020,"107,401","87,446",363,"6,309",584,302,380,"12,016",1,533
Asia-Pacific,Australia,2010,"22,141,581","14,861,049","548,184","5,504,105","603,817","319,799","109,927","194,700",1,36
Asia-Pacific,Australia,2020,"25,743,791","12,035,331","901,843","10,900,956","672,312","762,897","108,230","362,221",1,36
Europe,Austria,2010,"8,365,092","6,728,595","450,301","1,129,728","18,486","7,346","13,543","17,092",1,40
Europe,Austria,2020,"8,921,405","6,083,568","740,723","1,998,162","26,496","10,103","5,384","56,968",1,40
Asia-Pacific,Azerbaijan,2010,"9,146,851","149,891","8,883,621","97,725",228,762,"14,623",0,1,31
Asia-Pacific,Azerbaijan,2020,"10,181,730","42,730","9,644,874","484,645",208,693,"8,580",0,1,31
Latin America-Caribbean,Bahamas,2010,"367,478","358,283",328,"7,040",0,459,205,"1,162",1,44
Latin America-Caribbean,Bahamas,2020,"395,863","386,320",340,"7,351",0,500,196,"1,156",1,44
Middle East-North Africa,Bahrain,2010,"1,213,244","190,706","851,913","4,468","2,218","156,282",198,"7,459",1,48
Middle East-North Africa,Bahrain,2020,"1,483,077","202,789","1,097,795","4,747","2,367","166,191",213,"8,975",1,48
Asia-Pacific,Bangladesh,2010,"152,201,982","463,272","137,551,787",0,"946,053","13,030,675",0,"210,193",1,50
Asia-Pacific,Bangladesh,2020,"166,298,024","499,044","151,443,154",0,"1,014,722","13,141,486",0,"199,618",1,50
Latin America-Caribbean,Barbados,2010,"275,244","210,820","1,976","57,269",281,"1,298",127,"3,473",1,52
Latin America-Caribbean,Barbados,2020,"281,698","217,891","1,992","56,731",301,"1,302",129,"3,352",1,52
Europe,Belarus,2010,"9,490,752","8,906,307","24,382","472,647","3,622",529,"12,288","70,977",1,112
Europe,Belarus,2020,"9,350,944","7,960,518","24,528","1,287,788","3,537",521,"6,989","67,062",1,112
Europe,Belgium,2010,"10,936,626","6,683,328","559,180","3,501,101","15,831","12,921","30,262","134,003",1,56
Europe,Belgium,2020,"11,540,107","5,882,166","786,035","4,498,732","20,589","26,799","28,946","296,841",1,56
Latin America-Caribbean,Belize,2010,"320,245","237,090",624,"51,260",821,644,587,"29,219",1,84
Latin America-Caribbean,Belize,2020,"390,812","290,631",704,"61,082",989,764,772,"35,869",1,84
Sub-Saharan Africa,Benin,2010,"9,797,484","5,714,570","2,298,933","431,003",921,923,3,"1,351,130",1,204
Sub-Saharan Africa,Benin,2020,"13,070,169","6,957,403","4,104,194","638,597","1,075","1,084",8,"1,367,808",1,204
Asia-Pacific,Bhutan,2010,"701,632","3,846","1,604",200,"524,129","158,241",0,"13,612",1,64
Asia-Pacific,Bhutan,2020,"770,006","4,237","1,711",336,"575,466","173,297",0,"14,959",1,64
Latin America-Caribbean,Bolivia,2010,"10,182,345","9,745,146",857,"406,102","1,733",339,"3,516","24,652",1,68
Latin America-Caribbean,Bolivia,2020,"11,816,300","10,507,715","1,158","1,128,180","2,227",436,495,"176,088",1,68
Europe,Bosnia-Herzegovina,2010,"3,811,472","1,770,576","1,954,335","42,192",90,0,500,"43,779",1,70
Europe,Bosnia-Herzegovina,2020,"3,299,350","1,474,082","1,770,067","34,503",89,0,497,"20,111",1,70
Sub-Saharan Africa,Botswana,2010,"2,033,111","1,635,921","14,562","298,108","5,043","2,916",97,"76,464",1,72
Sub-Saharan Africa,Botswana,2020,"2,365,894","1,946,908","7,817","348,312","5,399","3,252",93,"54,113",1,72
Latin America-Caribbean,Brazil,2010,"193,701,930","172,701,282","35,958","15,720,304","245,576","5,800","107,832","4,885,177",1,76
Latin America-Caribbean,Brazil,2020,"208,660,843","168,295,544","36,936","28,113,467","215,207","1,608","92,141","11,905,941",1,76
Asia-Pacific,Brunei,2010,"392,332","34,072","309,133",614,"30,745","5,260",0,"12,508",1,96
Asia-Pacific,Brunei,2020,"447,404","29,947","367,545",699,"28,172","5,976",0,"15,065",1,96
Europe,Bulgaria,2010,"7,437,599","6,054,027","742,377","625,297","1,474",105,"3,671","10,647",1,100
Europe,Bulgaria,2020,"6,933,652","5,512,051","711,305","695,595","1,835",202,"3,189","9,476",1,100
Sub-Saharan Africa,Burkina Faso,2010,"16,176,498","4,299,885","10,408,435","100,990",251,120,0,"1,366,816",1,854
Sub-Saharan Africa,Burkina Faso,2020,"21,478,690","6,014,971","14,478,720","123,674",269,130,0,"860,926",1,854
Sub-Saharan Africa,Burundi,2010,"9,376,445","8,945,646","194,470","174,318",10,661,21,"61,319",1,108
Sub-Saharan Africa,Burundi,2020,"12,617,036","11,983,696","377,703","158,086",21,942,21,"96,568",1,108
Asia-Pacific,Cambodia,2010,"14,500,726","53,940","276,160","13,528","14,055,399",131,0,"101,568",1,116
Asia-Pacific,Cambodia,2020,"16,725,474","52,923","341,685","13,220","16,238,906",133,0,"78,608",1,116
Sub-Saharan Africa,Cameroon,2010,"19,668,066","14,095,280","4,194,809","604,900",356,"1,247","1,247","770,227",1,120
Sub-Saharan Africa,Cameroon,2020,"26,210,558","18,303,865","6,593,861","545,144",477,"1,948","1,672","763,591",1,120
North America,Canada,2010,"34,196,899","22,997,204","1,111,218","8,157,594","378,162","542,066","342,029","668,625",1,124
North America,Canada,2020,"38,171,902","20,353,687","1,865,790","13,218,712","663,179","582,029","352,344","1,136,160",1,124
Sub-Saharan Africa,Cape Verde,2010,"509,785","436,894","1,448","69,288",29,8,66,"2,051",1,132
Sub-Saharan Africa,Cape Verde,2020,"514,680","402,984","1,609","106,107",27,7,64,"3,882",1,132
Sub-Saharan Africa,Central African Republic,2010,"4,492,996","4,033,045","377,193","44,850",96,48,154,"37,609",1,140
Sub-Saharan Africa,Central African Republic,2020,"5,026,629","4,557,904","313,714","22,743",94,122,160,"131,892",1,140
Sub-Saharan Africa,Chad,2010,"12,312,575","4,869,422","7,052,453","331,149","1,387","1,387",0,"56,778",1,148
Sub-Saharan Africa,Chad,2020,"17,224,679","6,699,376","9,707,447","539,935","1,873","1,722",0,"274,327",1,148
Europe,Channel Islands,2010,"158,620","135,415",124,"22,302",5,127,103,544,1,830
Europe,Channel Islands,2020,"166,236","141,638",132,"23,632",6,136,111,581,1,830
Latin America-Caribbean,Chile,2010,"17,181,464","14,780,924","1,263","2,333,521","2,874",758,"28,042","34,082",1,152
Latin America-Caribbean,Chile,2020,"19,370,624","13,235,177","12,977","5,862,725","7,423","1,034","15,801","235,487",1,152
Asia-Pacific,China,2010,"1,351,561,514","31,195,977","20,728,269","1,181,562,175","76,098,118","22,473","3,094","41,951,399",1,156
Asia-Pacific,China,2020,"1,426,106,093","25,452,526","25,980,822","1,278,120,922","53,378,804","29,118","3,038","43,140,859",1,156
Latin America-Caribbean,Colombia,2010,"44,777,319","41,383,248","1,349","3,243,740","1,619",410,"2,598","144,356",1,170
Latin America-Caribbean,Colombia,2020,"50,629,998","43,666,834","1,988","5,034,446","4,669",519,"2,095","1,919,446",1,170
Sub-Saharan Africa,Comoros,2010,"654,836","1,992","651,810",851,0,5,0,178,1,174
Sub-Saharan Africa,Comoros,2020,"802,164","4,091","788,527","1,043",0,5,0,"8,498",1,174
Latin America-Caribbean,Costa Rica,2010,"4,555,962","4,156,673",808,"343,727","2,011",404,"2,464","49,875",1,188
Latin America-Caribbean,Costa Rica,2020,"5,034,320","4,423,112","1,268","508,396","2,467",472,"2,555","96,052",1,188
Europe,Croatia,2010,"4,301,146","4,028,125","66,274","200,957",956,493,524,"3,815",1,191
Europe,Croatia,2020,"3,953,958","3,592,480","54,272","263,248",881,463,606,"42,007",1,191
Latin America-Caribbean,Cuba,2010,"11,297,409","6,642,212","9,037","2,659,144","5,648","23,722","1,130","1,956,516",1,192
Latin America-Caribbean,Cuba,2020,"11,176,354","6,778,898","8,940","2,414,969","5,588","23,468","1,118","1,943,374",1,192
Latin America-Caribbean,Curacao,2010,"156,879","142,220",772,"9,229",492,"3,137",304,725,1,531
Latin America-Caribbean,Curacao,2020,"185,018","167,662",919,"10,965",645,"3,676",359,792,1,531
Asia-Pacific,Cyprus,2010,"1,127,817","739,135","299,719","73,119","7,188","3,195",471,"4,991",1,196
Asia-Pacific,Cyprus,2020,"1,302,248","882,257","317,212","85,559","7,261","3,473",570,"5,917",1,196
Europe,Czech Republic,2010,"10,464,036","3,142,223","19,839","7,171,807","11,074","2,382","2,674","114,037",1,203
Europe,Czech Republic,2020,"10,550,130","2,786,580","34,513","7,681,911","7,217","1,778","2,723","35,407",1,203
