Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level
Afghanistan,2020,39068979,7571,39015051,3304,7814,50,10,35179,1
Albania,2020,2871954,511657,2139813,219787,5,20,289,382,1
Algeria,2020,44042091,129920,43329641,557664,6607,0,57,18202,1
Angola,2020,33451133,31124508,85520,2045473,801,3102,400,191330,1
Argentina,2020,45191965,39974074,419922,4172533,14038,1163,173979,436255,1
Armenia,2020,2890893,2813205,7712,34051,309,216,103,35296,1
Aruba,2020,107401,87446,363,6309,584,302,380,12016,1
Australia,2020,25743791,12035331,901843,10900956,672312,762897,108230,362221,1
Austria,2020,8921405,6083568,740723,1998162,26496,10103,5384,56968,1
Azerbaijan,2020,10181730,42730,9644874,484645,208,693,8580,0,1
Bahamas,2020,395863,386320,340,7351,0,500,196,1156,1
Bahrain,2020,1483077,202789,1097795,4747,2367,166191,213,8975,1
Bangladesh,2020,166298024,499044,151443154,0,1014722,13141486,0,199618,1
Barbados,2020,281698,217891,1992,56731,301,1302,129,3352,1
Belarus,2020,9350944,7960518,24528,1287788,3537,521,6989,67062,1
Belgium,2020,11540107,5882166,786035,4498732,20589,26799,28946,296841,1
Belize,2020,390812,290631,704,61082,989,764,772,35869,1
Benin,2020,13070169,6957403,4104194,638597,1075,1084,8,1367808,1
Bhutan,2020,770006,4237,1711,336,575466,173297,0,14959,1
Bolivia,2020,11816300,10507715,1158,1128180,2227,436,495,176088,1
Bosnia-Herzegovina,2020,3299350,1474082,1770067,34503,89,0,497,20111,1
Botswana,2020,2365894,1946908,7817,348312,5399,3252,93,54113,1
Brazil,2020,208660843,168295544,36936,28113467,215207,1608,92141,11905941,1
Brunei,2020,447404,29947,367545,699,28172,5976,0,15065,1
Bulgaria,2020,6933652,5512051,711305,695595,1835,202,3189,9476,1
Burkina Faso,2020,21478690,6014971,14478720,123674,269,130,0,860926,1
Burundi,2020,12617036,11983696,377703,158086,21,942,21,96568,1
Cambodia,2020,16725474,52923,341685,13220,16238906,133,0,78608,1
Cameroon,2020,26210558,18303865,6593861,545144,477,1948,1672,763591,1
Canada,2020,38171902,20353687,1865790,13218712,663179,582029,352344,1136160,1
Cape Verde,2020,514680,402984,1609,106107,27,7,64,3882,1
Central African Republic,2020,5026629,4557904,313714,22743,94,122,160,131892,1
Chad,2020,17224679,6699376,9707447,539935,1873,1722,0,274327,1
Channel Islands,2020,166236,141638,132,23632,6,136,111,581,1
Chile,2020,19370624,13235177,12977,5862725,7423,1034,15801,235487,1
China,2020,1426106093,25452526,25980822,1278120922,53378804,29118,3038,43140859,1
Colombia,2020,50629998,43666834,1988,5034446,4669,519,2095,1919446,1
Comoros,2020,802164,4091,788527,1043,0,5,0,8498,1
Costa Rica,2020,5034320,4423112,1268,508396,2467,472,2555,96052,1
Croatia,2020,3953958,3592480,54272,263248,881,463,606,42007,1
Cuba,2020,11176354,6778898,8940,2414969,5588,23468,1118,1943374,1
Curacao,2020,185018,167662,919,10965,645,3676,359,792,1
Cyprus,2020,1302248,882257,317212,85559,7261,3473,570,5917,1
Czech Republic,2020,10550130,2786580,34513,7681911,7217,1778,2723,35407,1
Democratic Republic of the Congo,2020,95989998,92401422,1219602,1128415,147,1150,103,1239159,1
Denmark,2020,5831530,4484810,246038,969836,38283,25374,6189,60999,1
Djibouti,2020,1105189,12158,1079460,12172,0,442,0,956,1
Dominican Republic,2020,11008300,8546468,2732,2157747,4684,701,100,295869,1
Ecuador,2020,17546065,15532412,3182,1472360,3861,1397,599,532255,1
Egypt,2020,109315124,5270537,104038012,5086,59,187,234,1009,1
El Salvador,2020,6234674,5430923,218,740804,416,119,99,62094,1
Equatorial Guinea,2020,1716469,1522171,69484,85605,742,857,1075,36534,1
Eritrea,2020,3291271,1536075,1700586,34925,28,987,9,18660,1
Estonia,2020,1329670,699590,7953,579774,2608,835,1800,37108,1
Eswatini,2020,1192730,1111963,1619,73424,273,1517,202,3732,1
Ethiopia,2020,118917672,73227447,43095975,74119,1383,2881,5680,2510187,1
Federated States of Micronesia,2020,110917,109589,2,759,93,10,0,463,1
Fiji,2020,914963,636082,52888,2300,587,220533,189,2385,1
Finland,2020,5529612,3997079,89038,1385014,17393,8149,3433,29507,1
France,2020,65905278,30624609,5995942,28105801,469906,84205,455858,168956,1
French Guiana,2020,289056,243379,2652,9850,1738,4625,117,26695,1
French Polynesia,2020,279209,260910,906,14060,261,176,150,2746,1
Gabon,2020,2322539,1944962,200613,133826,0,0,0,43138,1
Gambia,2020,2515734,72789,2440330,451,0,1662,0,502,1
Georgia,2020,3795678,3346749,397058,37513,442,461,1689,11766,1
Germany,2020,83628709,47028504,5476628,30229853,287475,130895,118424,356928,1
