row_number,level,Nation_fk,Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
1,3,10000,2010, World, All Countries,"   2,168,330,000","   1,599,700,000","   1,131,150,000","   1,032,210,000","     487,760,000","     404,690,000","      58,150,000","      13,860,000","   6,895,850,000"
2,2,1001,2010,North America, All Countries,"     266,630,000","       3,480,000","      59,040,000","       2,250,000","       3,860,000","       1,020,000","       2,200,000","       6,040,000","     344,530,000"
3,2,1002,2010,Latin America-Caribbean, All Countries,"     531,280,000","         840,000","      45,390,000","         660,000","         410,000","      10,040,000","         990,000","         470,000","     590,080,000"
4,2,1003,2010,Europe, All Countries,"     553,280,000","      43,470,000","     139,890,000","       1,380,000","       1,350,000","         870,000","         890,000","       1,420,000","     742,550,000"
5,2,1004,2010,Middle East-North Africa, All Countries,"      12,710,000","     317,070,000","       2,100,000","       1,720,000","         500,000","       1,060,000","         230,000","       5,630,000","     341,020,000"
6,2,1005,2010,Sub-Saharan Africa, All Countries,"     517,320,000","     248,420,000","      26,240,000","       1,560,000","         160,000","      27,010,000","       1,920,000","         100,000","     822,730,000"
7,2,1006,2010,Asia-Pacific, All Countries,"     287,100,000","     986,420,000","     858,490,000","   1,024,630,000","     481,480,000","     364,690,000","      51,920,000","         200,000","   4,054,940,000"
8,1,1,2010,Asia-Pacific,Afghanistan,"30,000","      31,330,000","         <10,000","          10,000","         <10,000","         <10,000","          20,000","         <10,000","      31,410,000"
9,1,2,2010,Europe,Albania,"         580,000","       2,570,000","          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       3,200,000"
10,1,3,2010,Middle East-North Africa,Algeria,"          60,000","      34,730,000","         660,000","         <10,000","         <10,000","          10,000","         <10,000","         <10,000","      35,470,000"
11,1,4,2010,Asia-Pacific,American Samoa,"          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          60,000"
12,1,5,2010,Europe,Andorra,"          70,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          80,000"
13,1,6,2010,Sub-Saharan Africa,Angola,"      17,270,000","          40,000","         980,000","         <10,000","         <10,000","         790,000","         <10,000","         <10,000","      19,080,000"
14,1,7,2010,Latin America-Caribbean,Anguilla,"          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          10,000"
15,1,8,2010,Latin America-Caribbean,Antigua and Barbuda,"          80,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          90,000"
16,1,9,2010,Latin America-Caribbean,Argentina,"      34,420,000","         400,000","       4,920,000","         <10,000","          20,000","         330,000","         120,000","         200,000","      40,410,000"
17,1,10,2010,Asia-Pacific,Armenia,"       3,050,000","         <10,000","          40,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       3,090,000"
18,1,11,2010,Latin America-Caribbean,Aruba,"         100,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         110,000"
19,1,12,2010,Asia-Pacific,Australia,"      14,980,000","         540,000","       5,390,000","         310,000","         600,000","         150,000","         180,000","         110,000","      22,270,000"
20,1,13,2010,Europe,Austria,"       6,750,000","         450,000","       1,130,000","         <10,000","          20,000","         <10,000","          10,000","          10,000","       8,390,000"
21,1,14,2010,Asia-Pacific,Azerbaijan,"         280,000","       8,900,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       9,190,000"
22,1,15,2010,Latin America-Caribbean,Bahamas,"         330,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         340,000"
23,1,16,2010,Middle East-North Africa,Bahrain,"         180,000","         890,000","          20,000","         120,000","          30,000","         <10,000","         <10,000","         <10,000","       1,260,000"
24,1,17,2010,Asia-Pacific,Bangladesh,"         450,000","     134,430,000","         <10,000","      12,680,000","         920,000","         100,000","         100,000","         <10,000","     148,690,000"
25,1,18,2010,Latin America-Caribbean,Barbados,"         260,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         270,000"
26,1,19,2010,Europe,Belarus,"       6,830,000","          20,000","       2,740,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       9,600,000"
27,1,20,2010,Europe,Belgium,"       6,880,000","         630,000","       3,110,000","         <10,000","          30,000","          20,000","          10,000","          30,000","      10,710,000"
28,1,21,2010,Latin America-Caribbean,Belize,"         270,000","         <10,000","          30,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         310,000"
29,1,22,2010,Sub-Saharan Africa,Benin,"       4,690,000","       2,110,000","         450,000","         <10,000","         <10,000","       1,600,000","         <10,000","         <10,000","       8,850,000"
30,1,23,2010,North America,Bermuda,"          50,000","         <10,000","          10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          60,000"
31,1,24,2010,Asia-Pacific,Bhutan,"         <10,000","         <10,000","         <10,000","         160,000","         540,000","          10,000","         <10,000","         <10,000","         730,000"
32,1,25,2010,Latin America-Caribbean,Bolivia,"       9,330,000","         <10,000","         400,000","         <10,000","         <10,000","          90,000","         100,000","         <10,000","       9,930,000"
33,1,26,2010,Europe,Bosnia-Herzegovina,"       1,970,000","       1,700,000","          90,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       3,760,000"
34,1,27,2010,Sub-Saharan Africa,Botswana,"       1,450,000","         <10,000","         410,000","         <10,000","         <10,000","         120,000","          10,000","         <10,000","       2,010,000"
35,1,28,2010,Latin America-Caribbean,Brazil,"     173,300,000","          40,000","      15,410,000","         <10,000","         250,000","       5,540,000","         300,000","         110,000","     194,950,000"
36,1,29,2010,Latin America-Caribbean,British Virgin Islands,"          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          30,000"
37,1,30,2010,Asia-Pacific,Brunei,"          40,000","         300,000","         <10,000","         <10,000","          30,000","          20,000","         <10,000","         <10,000","         400,000"
38,1,31,2010,Europe,Bulgaria,"       6,150,000","       1,020,000","         310,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","       7,490,000"
39,1,32,2010,Sub-Saharan Africa,Burkina Faso,"       3,710,000","      10,150,000","          70,000","         <10,000","         <10,000","       2,530,000","         <10,000","         <10,000","      16,470,000"
40,1,33,2010,Sub-Saharan Africa,Burundi,"       7,670,000","         230,000","         <10,000","         <10,000","         <10,000","         480,000","         <10,000","         <10,000","       8,380,000"
41,1,34,2010,Asia-Pacific,Cambodia,"          50,000","         280,000","          30,000","         <10,000","      13,690,000","          80,000","         <10,000","         <10,000","      14,140,000"
42,1,35,2010,Sub-Saharan Africa,Cameroon,"      13,780,000","       3,590,000","       1,050,000","         <10,000","         <10,000","         650,000","         530,000","         <10,000","      19,600,000"
43,1,36,2010,North America,Canada,"      23,470,000","         710,000","       8,050,000","         470,000","         280,000","         390,000","         300,000","         350,000","      34,020,000"
44,1,37,2010,Sub-Saharan Africa,Cape Verde,"         440,000","         <10,000","          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         500,000"
45,1,38,2010,Latin America-Caribbean,Cayman Islands,"          50,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","          60,000"
46,1,39,2010,Sub-Saharan Africa,Central African Republic,"       3,940,000","         370,000","          40,000","         <10,000","         <10,000","          40,000","         <10,000","         <10,000","       4,400,000"
47,1,40,2010,Sub-Saharan Africa,Chad,"       4,560,000","       6,210,000","         280,000","         <10,000","         <10,000","         160,000","          20,000","         <10,000","      11,230,000"
48,1,41,2010,Europe,Channel Islands,"         130,000","         <10,000","          20,000","         <10,000","         <10,000","         <10,000","         <10,000","         <10,000","         150,000"
49,1,42,2010,Latin America-Caribbean,Chile,"      15,300,000","         <10,000","       1,470,000","         <10,000","          10,000","         260,000","          30,000","          20,000","      17,110,000"
