country,name,count
ID,Sari,976439
ID,Setiawan,690352
ID,Hidayat,590281
ID,Lestari,581907
ID,Saputra,555250
ID,Wati,521880
ID,Rahayu,512793
ID,Dewi,425291
ID,Kurniawan,422909
ID,Santoso,419243
ID,Putra,414440
ID,Susanti,408434
ID,Wahyuni,405454
ID,Ningsih,349157
ID,Susanto,339334
ID,Gunawan,331286
ID,Arifin,329057
ID,Siregar,313483
ID,Astuti,312933
ID,Wijaya,311194
ID,Handayani,310580
ID,Rahman,293103
ID,Irawan,274010
ID,Hasanah,252172
ID,Nurhayati,239175
ID,Putri,234608
ID,Wulandari,231816
ID,Wibowo,230546
ID,Aminah,227610
ID,Efendi,224462
ID,Yanti,224001
ID,Maulana,223089
ID,Sinaga,221905
ID,Hadi,221409
ID,Suryani,219188
ID,Fatimah,217422
ID,Wahyudi,214282
ID,Lubis,211628
ID,Pratama,206687
ID,Utami,205979
ID,Anwar,205464
ID,Nasution,203322
ID,Hermawan,198684
ID,Ali,198278
ID,Prasetyo,188112
ID,Rahmawati,186147
ID,Nugroho,184989
ID,Harahap,184229
ID,Purba,182586
ID,Rohman,179956
ID,Yusuf,179647
ID,Mulyani,179355
ID,Purwanto,178760
ID,Purnomo,176001
ID,Widodo,174811
ID,Hasan,170833
ID,Utomo,164819
ID,Hartono,157807
ID,Ginting,157039
ID,Ahmad,155496
ID,Fauzi,152100
ID,Abidin,151686
ID,Simanjuntak,151443
ID,Yani,151400
ID,Hayati,149642
ID,Aisyah,149079
ID,Hakim,146604
ID,Marlina,140971
ID,Nugraha,139327
ID,Hasibuan,139071
ID,Permana,138764
ID,Sumiati,138061
ID,Supriatna,132362
ID,Iskandar,132309
ID,Salim,132113
ID,Suryana,131156
ID,Amin,130768
ID,Mulyana,130081
ID,Bahri,128509
ID,Mulyadi,127831
ID,Sumarni,126678
ID,Supriadi,126004
ID,Sihombing,125705
ID,Sulastri,124390
ID,Nurjanah,123337
ID,Agustina,121611
ID,Aisah,121372
ID,Tarigan,120920
ID,Sembiring,119802
ID,Riyadi,118804
ID,Kurnia,118144
ID,Riyanto,117640
ID,Ismail,117361
ID,Yulianti,117060
ID,Huda,116886
ID,Pratiwi,116071
ID,Aini,115166
ID,Safitri,113896
ID,Nur,113588
ID,Nuraeni,112658
PK,Khan,15132422
PK,Ali,10374718
PK,Hussain,7416781
PK,Ahmad,6180429
PK,Mohammad,4976942
PK,Ahmed,3483295
PK,Shah,3428431
PK,Bakhash,3175072
PK,Muhammad,3118060
PK,Iqbal,2101515
PK,Ullah,1990622
PK,Din,1983532
PK,Khaw,1470140
PK,Allah,1401288
PK,Nawaz,1366634
PK,Mehmood,1186019
PK,Aslam,1043134
PK,Gul,916573
PK,Ashraf,865850
PK,Abbas,863410
PK,Akhtar,814508
PK,Rehman,812504
PK,Bux,791993
PK,Zaman,780479
PK,Rasool,772461
PK,Hassan,765726
PK,Uddin,703853
PK,Akbar,682529
